Label,Input,S1_MeanAccelX,S1_StdAccelX,S1_MeanAccelY,S1_StdAccelY,S1_MeanAccelZ,S1_StdAccelZ,S1_MeanGyroX,S1_StdGyroX,S1_MeanGyroY,S1_StdGyroY,S1_MeanGyroZ,S1_StdGyroZ,S2_MeanAccelX,S2_StdAccelX,S2_MeanAccelY,S2_StdAccelY,S2_MeanAccelZ,S2_StdAccelZ,S2_MeanGyroX,S2_StdGyroX,S2_MeanGyroY,S2_StdGyroY,S2_MeanGyroZ,S2_StdGyroZ,S3_MeanAccelX,S3_StdAccelX,S3_MeanAccelY,S3_StdAccelY,S3_MeanAccelZ,S3_StdAccelZ,S3_MeanGyroX,S3_StdGyroX,S3_MeanGyroY,S3_StdGyroY,S3_MeanGyroZ,S3_StdGyroZ,S4_MeanAccelX,S4_StdAccelX,S4_MeanAccelY,S4_StdAccelY,S4_MeanAccelZ,S4_StdAccelZ,S4_MeanGyroX,S4_StdGyroX,S4_MeanGyroY,S4_StdGyroY,S4_MeanGyroZ,S4_StdGyroZ,S5_MeanAccelX,S5_StdAccelX,S5_MeanAccelY,S5_StdAccelY,S5_MeanAccelZ,S5_StdAccelZ,S5_MeanGyroX,S5_StdGyroX,S5_MeanGyroY,S5_StdGyroY,S5_MeanGyroZ,S5_StdGyroZ
A,11,1026.625,2874.7510517216965,-281.875,1736.383017762786,240.125,2585.741960129626,62.09375,2101.5448240427654,363.90625,5885.090766926279,49.0,3908.8280132924756,1069.125,4174.934997622718,-306.875,1363.3346010334367,314.625,5988.818715688011,70.46875,2864.369073028725,524.875,6888.406477326595,73.78125,3346.74375078201,1134.875,5807.844973342091,-301.0,2058.001943633679,122.125,6854.199222693705,105.0625,1587.8004821430652,610.375,6688.532054709389,63.1875,2725.3957446293466,1105.25,5340.981130606998,-408.0,2772.071968762716,99.875,6234.052573116062,196.9375,1679.282341833484,493.84375,6928.97255239447,305.1875,2858.4738327197874,-5.25,939.3728958725603,-4.25,1940.1878613938393,65.0,1615.5107551483525,188.53125,1565.3464868914605,2.5625,1198.685658792058,56.125,1236.779632503301
A,12,992.875,3704.0238571552154,-252.375,2960.954298765011,202.875,3177.578517420931,102.34375,2161.1588414750863,262.09375,5820.285121663795,113.40625,4439.967200465668,1077.0,3512.009253974141,-282.75,3368.4909733439986,323.75,6185.660994388554,63.71875,2359.2338300067754,186.96875,6595.218298530644,78.0,3240.503780278616,1154.75,5536.863772705628,-215.0,2148.4520008601544,145.0,7457.345707421643,93.59375,2621.9756847100884,326.0625,7568.943746229968,108.96875,3058.2737827528517,1114.875,5113.090575608357,-457.5,2142.3108434585306,189.5,6915.739060288495,191.78125,3147.1098520544906,290.21875,7718.424178282666,246.375,3685.54134210634,-9.25,638.8093905853294,-85.375,1359.4986610420033,96.25,1591.793308661649,242.75,2869.772377733119,33.90625,859.1360616694759,-6.4375,1387.9096002959811
A,13,926.25,3209.844379015905,-249.25,2109.1432946815157,186.125,2775.822037590847,31.15625,2232.7472162866843,145.53125,4260.1958507237005,31.78125,3656.6972866096585,972.875,3819.9850437370824,-217.625,1804.111376654723,50.625,6412.388058233453,10.0,3374.0098362334393,46.9375,6071.6609287404835,4.0625,2892.3056755975413,946.25,5205.75844017949,-178.0,2515.940182118804,-162.375,6166.924424652454,26.34375,2839.954319718178,22.71875,6625.173456381986,-3.40625,2885.2378352938144,1009.375,4288.112476297118,-255.875,1894.6135448621178,-53.125,5692.682955722636,66.59375,3096.5386104828303,-5.15625,7076.334618419054,71.03125,3272.622977868584,-31.5,692.7472482803522,-16.5,1649.2370205643579,133.875,1254.3388634555656,59.625,2027.4595056067087,-5.40625,1639.0815808589082,7.625,1913.8072452248164
A,14,972.375,3173.9342084194186,-344.375,3338.815562347672,330.875,2857.577511525278,86.53125,3577.508874765154,173.90625,6241.249996792384,35.1875,4650.076588330965,992.125,4099.905911649071,-277.375,2589.87926540505,309.875,7190.118913090033,130.4375,3581.3145014915613,127.65625,9240.54961707289,101.5,3711.0474515290152,1039.25,6952.017652271893,-205.875,2558.625018320387,-20.625,8980.098947638327,147.84375,2202.113815595356,170.9375,10658.86316914678,48.5,3587.908356549816,972.25,6511.690866242039,-212.875,2767.089216916397,130.875,7721.60865586796,202.0,2330.5516916601528,155.9375,10241.552058091282,78.78125,4429.9495111003735,-84.875,559.8818932373148,47.125,2458.9641588227755,111.75,1020.7124656336866,154.84375,2523.612739077836,-21.375,697.1584625284269,-109.71875,2140.8545495078447
A,15,955.125,2684.627298970008,-235.625,2840.4271438244987,163.875,2587.582749280687,-22.375,2697.5104002348166,212.84375,5954.8221326783505,-3.53125,3678.714797524189,1002.375,4037.3728908010216,-333.0,2318.0362378530667,180.375,6537.268723203521,-62.375,2692.414433993214,-30.875,7268.183957968799,-75.0625,3487.9456071724726,1048.25,5697.760958262465,-282.75,1964.4959754349206,-61.125,6911.206423944737,-55.84375,2477.6906221996196,75.125,7001.343619932891,-19.1875,2726.985703545904,989.125,4481.697249299086,-329.375,1852.3354473137417,-29.25,5689.469609506672,90.65625,2903.302737932429,3.6875,6779.538532587874,70.75,2996.5998231328786,-18.25,688.6573440398353,-42.625,1735.4718693701145,130.125,1166.7506093313173,122.125,2478.928343937154,24.875,942.4575172786305,-28.53125,1560.702145357479
A,16,986.625,2449.3139058469005,-227.625,1676.1340517318417,195.375,1958.1203000262778,44.40625,1934.5171855558526,244.0625,3604.2823569462134,55.46875,2684.6464383645452,1032.5,2998.557444839101,-181.375,1494.2645714113014,38.25,3630.360166360908,62.5625,2389.3637350963854,201.53125,4731.884376125799,53.5625,2756.9200765698215,1031.375,3746.5935340486294,-176.75,1999.1669358760414,-158.5,4824.87883267549,72.59375,2091.0039732652203,232.5625,4884.492482192367,17.3125,2351.3131628610745,1019.0,2984.4753307742385,-227.375,2268.9522051764334,1.875,4269.829854265273,47.46875,2362.023113037516,195.46875,5169.942202193699,70.46875,2558.892777945852,-30.0,788.4992073553403,24.5,1406.66796010999,152.375,1222.596973403337,92.5,1801.6036259399568,37.0625,1035.3295953916077,-21.75,1329.8181031629852
A,17,1016.875,3390.0741488019107,-201.375,2217.452504423714,187.125,2811.131931157803,-7.34375,3246.824425586628,260.0,5644.375901062934,33.09375,4375.685427445732,1005.75,3440.42205804753,-194.125,2343.9136042898426,178.5,6424.348040852084,-66.96875,3296.8845946246643,103.96875,7317.022240486456,-31.34375,3385.5306139637755,1071.5,6008.861019361323,-229.0,2784.4487784838134,54.875,8257.12055118944,-68.625,3326.958744014569,100.0625,7676.540928119497,-27.9375,3116.0062473611556,1026.0,5530.84017125789,-287.5,2251.75970076738,19.625,6985.077691720759,18.125,2912.048503094514,75.5,8142.938543609426,82.65625,3684.0985719828313,-22.625,595.7714405499814,-89.25,1703.729567008802,71.875,1468.425512028104,177.5,2569.1271134375584,17.0,1220.62320148357,18.1875,1300.2009565231638
A,18,1018.375,4457.520707677643,-292.75,2179.3880878586083,200.375,2531.7753374608496,72.5,2428.705069064583,503.28125,6660.347378489236,97.9375,4961.344247892273,1001.375,4814.366376728613,-261.625,2011.855824698927,71.375,6063.391964022695,43.5,4218.062581031723,627.03125,9012.100623898594,97.03125,4181.439790045223,967.875,6548.550334568331,-166.5,3325.2201054967777,-263.625,9345.24378276859,89.78125,4002.2027039367254,595.6875,10227.783986638735,88.125,3775.252795757524,950.875,5856.456030260536,-147.375,3240.847591198173,-145.25,7076.197456084729,171.0625,4253.211109984284,446.9375,10086.485401074735,233.4375,4130.364125424507,-49.0,754.5104373035538,-22.625,2421.661332510184,19.0,1420.9806472996033,255.1875,2687.0370698678034,92.53125,1015.2042277411168,60.40625,1394.1204408912945
A,19,984.0,3035.945486994126,-155.25,1971.0843303877184,186.375,2233.082367351236,-19.65625,2376.5407319433716,399.59375,4507.978772821689,-3.9375,3304.3312290225613,1043.75,3883.8296741103363,-234.625,1780.9765886656119,127.375,4688.326792084251,-2.25,3554.4349410278983,289.6875,6789.532878986871,4.0625,2946.3486400278143,1063.125,5428.00117302631,-173.0,1879.2756583322202,-55.25,7643.191508623868,37.21875,2963.405354638214,375.71875,7238.388331641819,50.84375,3065.9546138741093,1050.5,5053.594735433383,-296.75,3458.9913902032195,33.375,6830.202969851994,179.96875,2765.689058403608,340.125,7110.203512162996,236.125,3489.868924383121,-11.5,886.0376684994832,-57.75,1450.85593271696,34.875,1463.9386033488563,173.25,1800.4787210628178,19.59375,1404.9679902798275,9.75,1538.5344284415607
A,20,975.125,3840.5483637593993,-208.0,2942.8691782000774,49.125,2343.100773414366,3.6875,2593.492317772264,167.125,6982.634843622785,16.40625,4363.9515125297785,998.125,5025.43689487541,-169.0,2430.297924123707,99.625,7103.032124337817,-29.125,3404.6852621608064,133.90625,9177.716659657834,-20.0625,3803.9318222851666,1016.875,6237.9415462454435,-173.625,2678.4803264864577,-75.75,8466.264166531777,-48.75,2585.0127417480944,107.625,10434.747016429052,-33.1875,3383.4980552445645,999.75,5145.470234827912,-272.125,2464.333476698111,29.0,6410.900092810681,30.90625,2658.7860994184803,72.375,10883.909946998598,76.71875,3838.30048031006,-32.625,759.0303744745661,-26.125,1954.2351405025445,66.125,1619.2096789406244,55.96875,2623.268970725922,-20.1875,1294.7129372350266,9.59375,1210.6640187149108
