Letter,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
I,11,2375.314933083114,1407.3727184624422,2829.7018716309876,2017.4853327070523,866.2692275788522,489.101339319866,5038.887198829977,4812.887210133579,4465.324311071391,4322.580520875788,2185.5723222756023,1086.9120428426606,7135.900818793527,7831.489992609444,4336.761704211591,4423.9998639109135,3219.983369815637,1554.1053152258905,5518.430523965135,6617.353062378483,4929.6032520465615,4250.009039980029,2358.332951008665,1263.9582379880246,2383.6906334174296,1757.5886788887815,4579.984840856845,4371.414753975137,818.5324002976788,539.50788652113
I,12,2123.4274395807006,1123.268404628097,2486.335373205795,2121.4166049943137,603.7713578504106,421.4697841121677,3657.4881159778597,3475.967229632743,3558.6218799804114,3494.891271960357,1379.453702729069,863.2804987683048,4174.6822402483485,4308.9367821952355,3511.0023413187055,3545.42104735172,1602.914719176069,1011.0652787219907,3960.123705192218,3985.3192142631005,4019.1926065507364,3705.6386187400817,1483.5131119230382,962.8447297335501,1776.8348177308787,1346.2069047881437,2935.329640005777,2145.678789335336,550.5380780756168,412.66168850376926
I,13,1810.1943725895426,1228.9130699301527,2144.643620686178,1864.1949224799641,637.208450152609,365.51363198068947,4908.727772837438,6156.046186650519,4162.636312872679,3473.901992249314,2142.847272904452,1127.5256992925708,5503.7909514905205,6057.178193044271,4061.8691668647975,3709.8078954675098,2341.12491363083,1222.18119252727,3379.588903599104,3047.1360886363123,4328.007690155891,4182.935384864493,1353.0846716777419,758.4967434387082,2470.4751240414644,2544.2700645749674,2911.369811515895,2397.485077241129,970.3993663990925,526.7224866371055
I,14,2130.844584834373,1227.696972091252,1679.6112115277779,921.8247986250914,716.245451261989,432.81324253491744,3175.300166787777,2301.2032397851167,3452.9020515745624,3267.56389336646,1229.0240665437245,677.0879625668499,3803.025722770626,3247.6487420817175,3825.397990156223,3330.1249457653585,1582.002810150943,809.0615051595945,3238.264695431942,2458.536406547414,3594.659415987313,3564.90824241014,1322.8241450533203,673.5278422108817,2269.1566615687007,1296.017185556731,3770.6285660940885,3731.7894205133334,878.8615436538739,459.8645448452581
I,15,1841.9015146637707,1426.3620894707299,1724.944017882625,973.787023132341,677.2758822131957,390.64479554585085,2603.0903372990533,1931.5647014429267,3692.047548915344,3259.140529387802,997.3339943431187,559.0776660409582,2520.710552651487,1937.6349784599356,3430.134922166578,3171.0591946119966,972.8717528185583,536.2219285542211,2386.3526774518477,1778.5928142265718,3665.637287883718,2657.9245413341787,882.1247910715815,519.1506094168504,2047.1144266740555,1571.1274690816633,3122.7046567363896,2641.8599157216627,666.6131526653426,473.19996419664636
I,16,2513.4934709581257,1765.6111042499915,1993.3542990464225,1366.2053221324918,860.8316470749165,485.0902898043813,2474.7809338577117,2606.9770481180594,3355.514146321042,3656.649854387123,1042.7101069505304,499.3692575784716,2867.8923847549877,2941.219945781741,3201.55918189783,2938.482382294592,1199.1343056306553,607.2288606816634,2808.9465999692793,2885.0134312548744,3172.903416156695,2746.4105106467923,1213.8126722362213,605.5458298743458,2821.248635082589,3112.411466860484,2597.3848469596815,1952.8282183884567,1078.983054768894,673.3533174332194
I,17,1727.095481335239,1013.2957112074439,2055.8694299100753,1271.2955668967086,619.2831571786683,336.0202125533477,3503.4664972640803,3821.8641397292186,3784.278647469972,3771.0199954127584,1553.5157817135807,642.0592224081546,3609.9959879379417,4227.474478583161,3078.0365656685312,2914.351647520846,1595.6336632982805,730.5649781026622,3190.728219605742,2801.6860867362657,3409.4871236256977,2919.4835519455432,1391.1598208337289,621.9015026002307,1715.8701077796386,1250.5767762229923,2745.5889342293144,1995.5440590820183,663.9164170257538,354.1292306960264
I,18,1945.7517703086173,1472.9104006492998,2024.2903813086932,1259.3385474689105,703.340012556856,380.1680793059981,5159.142169251669,6552.735350786661,4506.930123402824,4862.038675444099,2360.5076903268678,1030.9616564847283,3700.7465400387086,3535.941041136224,3839.207622057019,3396.4920493045897,1572.813253416056,771.7716632114639,3280.3810208093687,2776.511274659925,3714.4631129980744,2834.4799348251972,1328.753362230279,696.6349289388661,2262.702336170446,1350.5989922581778,2827.7706453056167,2359.7426612975955,838.6731681059922,437.55455287882484
I,19,1904.5463568085095,1197.8208024439355,1968.7782448831522,1075.1132515808808,618.2092698113702,397.4206229864154,4405.933633013736,5628.555171753972,4361.714703247104,6132.741730150393,2012.4713281828203,868.7305817547074,3121.1819873602735,3245.9108123572605,3014.5131510655974,2695.387146274643,1296.7347220354147,721.106589489235,2337.2429171546246,2077.538699088549,2977.2438457758685,2305.8996932411687,931.6882990038978,520.5131863923015,1786.2480621863067,1166.6652734763575,2377.968188533278,1428.6630377992426,694.820854341132,349.0059424680778
I,20,2110.135295526871,1107.645491378774,2124.275188468019,1204.9546355191812,687.6063349103691,404.5878208217749,5058.762381051426,4927.067350063211,5831.505685209849,8041.792112512309,2315.795428681416,971.6454615327391,3664.113752796981,4250.68011106035,4080.201758484248,4031.25266093705,1537.614380172894,825.1797917984752,3463.811613911512,3767.978185092335,4873.137289298134,5082.413863352928,1438.0154812339244,757.5801268208916,2307.927629529933,2649.598565226881,2631.5005263340813,2721.1547488894216,808.1652592179389,520.8571219037572
I,21,2752.575164093781,1835.2740847116256,2322.459532479138,1679.326641840945,858.4275168710078,528.8601322172308,3923.116426037804,3379.064442675274,3748.472118848175,3817.4990126675702,1661.36486939046,694.2648031892334,2851.466777573258,1929.8925401161541,4053.2817909910486,3052.4642613092783,1160.9635920646274,578.7591592050892,3170.9385519680286,2885.3752268366934,4135.680209168592,2690.5245633967425,1266.6143768883849,690.8697884864459,2522.057713681258,2008.3154355979202,3052.9020283102946,2874.9045450308245,973.0842407787432,536.4950805840249
I,22,1999.8700275152391,1116.588049840314,2126.4634055486727,1108.7179013898624,694.1363919496648,388.7343777531993,6484.377774285285,6479.656270231855,4481.486243977908,3858.0276471646466,2838.7706616342884,1391.0623986174608,7562.9968552546525,8011.782109331745,4245.641300997733,3842.2373453838427,3299.195537867967,1709.4175283514362,4411.375457105465,4338.248445680301,4715.99381104289,4355.792049008442,1749.0648871424487,983.8992477956358,2325.4840861002526,1311.9294056062897,3015.3585344836883,1933.928709199587,748.9041031318363,495.49099897075064
I,23,3579.961783423939,2862.8150707344143,2686.307764152506,1486.2574650793058,1392.1091415678254,756.3229425247141,5119.148112808661,5747.188147183589,5526.834017271136,6003.485846409118,2405.4485065149956,929.5924667175904,7271.876380349874,8695.031794588771,4393.642458464846,3610.0747711681797,3415.1576359760356,1511.9935602449902,4361.973140805945,4848.979822487152,4714.366679898635,4377.629380722119,1888.4697672792377,939.8229326212739,2789.2840486857317,2217.9678752739705,4229.723184920783,3032.2496440668588,1114.295924883561,565.812707941422
I,24,1986.730620439002,1087.593877240056,2861.8345899515357,1639.260208068544,587.1638159791589,374.4565509113182,3226.391870060126,2949.946186087116,3744.101234749715,2672.00808853485,1284.892446955445,682.2146243616737,3368.4101458907317,2808.3820233473184,4012.760166086591,2773.934779689082,1368.4181407901006,735.3330304554961,3692.764484290406,3190.5638159365203,4566.001728432462,4399.613363376578,1541.3985731867176,785.5263396675854,2203.5614752874144,1803.1362468291613,2920.510106604758,2081.042556861695,828.0400912930054,438.2231708065637
I,25,2730.152618223176,1824.0862592567103,2793.2166198127416,2346.647790424009,1065.8330681762832,549.2363874514422,4167.419431621636,5571.036284295983,3402.670748516196,3513.323701773327,1907.2253799595242,878.9928416513309,4652.659799400089,6247.473752729686,3544.018328163946,3296.437802141583,2188.906621535272,976.9469974042482,3876.6703243229185,4136.676890514177,3947.4267081025228,3674.0338113113326,1760.3798151248916,772.1751024071871,2930.4279397371206,2937.597588167592,4227.30188197341,4248.435611188437,1275.8209960053146,532.591195104013
I,26,2561.7882548949383,1377.9344821443237,2749.063199938539,2102.9086012577154,850.1168377191478,481.75138684696356,4395.294232799322,5717.024497684177,2976.088602713413,3818.15873950381,2197.215462100569,695.9602607988855,4226.343942320752,5353.516029789084,2764.966365264312,3313.623172632498,2121.636692184077,693.3803017861431,2790.6342954449883,2743.7390963949642,3505.7450770539144,3335.567265992734,1271.0130990729376,525.8121975415066,2279.050422699665,1899.5859208765678,2588.061398204642,2042.3776613601692,941.4823241351282,489.3929849256595
I,27,2672.544052950631,2013.735902505146,2123.777940175407,1395.3835756967712,770.1202354305735,568.6987385379634,5274.829586184485,5444.533252420523,3622.7239397740586,3002.012222025074,2277.851893541459,1130.026356809306,4789.7737558951285,4935.633329912004,3697.8513721449726,3680.948002658492,2007.9656045780712,1044.115941946567,3827.1636700033764,3955.9884659849918,4768.473878769299,4568.496137816566,1586.5190688768826,844.4068145994993,1810.785035763041,880.449063976243,2605.4695613319404,1807.9885377050225,600.4017349956505,362.9527396469658
I,28,2438.329302488488,1611.446776231224,4022.632813831181,3214.421083389455,730.0221552050812,482.51535342056786,3773.966364166261,3204.4429129166415,5178.6745553531255,3420.352253385331,1577.1992528212063,669.6657898790005,3860.1032644025513,2587.3517905667113,5065.020432994893,4370.252182465472,1496.332988267557,786.2403002883686,3797.244370731285,2832.5230253167524,4496.411791146233,3415.0091788955897,1443.5790678463964,783.8271875691895,1614.8845489580713,724.6950348501687,1871.5479455637255,1025.6535599100691,511.27804181837,308.439080276918
I,29,2696.962260674639,1800.1252913330068,2512.6788890661483,1380.369601933231,871.9629517367603,552.1099840244171,3770.9435173164147,3205.7506904326337,3737.910845825196,2853.152391857535,1576.6938552564984,779.5558843612191,3245.7879011986624,2741.945276702724,3502.792586073072,2663.511639772111,1391.2556995266966,650.4528713584001,3142.410136761769,2946.1671765833116,3856.0539361748665,3101.1362198088495,1323.58126079651,661.4650652787504,1950.0260323435182,1142.7081749872084,3689.6775676870698,3875.677486292794,700.7402351467429,409.17044032621965
I,30,3348.744973442382,2139.921050610134,2725.2082489405598,2222.7261133361276,1138.8608482035,701.7082123981567,4402.251782872073,3589.731151520912,4246.814545212168,3141.1273403945856,1732.958120614335,919.091539447212,4294.299718028211,3944.2015582045024,5384.852386284373,4277.513752511791,1725.4645888992761,909.2825571118211,3883.8208696070405,3247.132112003577,5774.846202921541,3852.1932699246377,1555.6197002774738,814.3072455449209,2209.6660410783597,1411.9598035727113,3438.1680488941843,2698.206313704191,627.7100631471886,453.6853050519314
