Label,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
milk,12,6747.5834471870585,5059.358469534178,9215.24383472819,7278.040569772477,1957.4856608021612,1458.7374553729157,8313.271421771438,6471.750363538314,8613.138518795651,7064.537501212564,2302.2083566687447,1768.8917758477364,8847.664123774684,7342.458719861512,8122.118507922043,6955.399108302141,2756.694383269996,1835.5441867543507,5044.750086931409,3127.9881010652102,8947.076179677351,7066.719491128831,1641.5548209748074,1045.5160412079163,4518.291382263919,3460.3823466431563,7699.85261274981,5607.227375065143,1233.826602461284,965.234955963414
milk,13,6062.776997757996,3239.26891064273,10085.109133437096,8850.035336322882,1903.3758925325478,1114.285422304138,6763.485808419901,4176.25989604366,9623.361750714887,9070.058711007758,2269.2738634586053,1153.2188373784031,5887.546965162418,4689.11364044494,8202.612901107495,8031.428099244547,1922.9759451529599,1047.9319556849575,5785.063866097443,3904.7618448727067,9938.40085047363,7427.195511113535,2030.3054420184612,1062.6340746502156,2833.1275525949686,1763.448686729286,5951.9690620611655,3708.3086908679443,819.851147613839,590.5805960261706
milk,14,5116.244959520347,3029.2827557332193,9435.458905044627,6442.187017132773,1741.0592559704237,961.5957219990523,7353.827773638968,4961.647264332294,8796.756213955037,6245.939682585274,2123.35493381069,1385.2002370368773,10477.80199359987,7027.886551653676,8747.196827478514,6958.630563379536,3360.858530816562,1907.2621240073902,8093.204061165958,7179.562209795724,9263.652582957979,7211.201066553059,2526.313840484327,1475.2131688240827,3157.6538275793228,1601.2695916595842,5842.268132536346,3382.5136417020244,1006.2515064032224,618.1745205156943
milk,15,6406.662849164992,5052.47257658358,9440.313553349682,6604.33034895986,2131.6616927648315,1158.746588373604,6886.185056570157,4420.118026328014,8673.848972745562,5998.350817453973,2391.560910324862,1210.2347888832126,8905.916879622362,6943.332451586737,8027.4171213792515,6267.663376660975,2803.357924655512,1728.063173788544,6936.195632193345,4567.2112554535925,10298.45301975307,6691.947123684473,2362.5144530672724,1380.0310982101873,3853.2376111196772,2033.4372162062743,5942.108365537381,3728.392220141367,1277.7871657542157,773.1560586725086
milk,16,5565.84298891069,4728.0260492930565,8560.353900627584,6397.118985509033,1411.8325565613893,1084.2329640784155,8262.121734993325,7160.728275542292,7747.510429845817,6947.281674920075,2515.106432411968,1471.9215010715736,7076.283836702853,5899.442521325041,7443.727397673474,6756.634405650884,1872.8496736396614,1301.8900124021056,6423.611359879782,5577.179179228818,8562.175341371678,7264.393975401993,1829.2342727215857,1172.8492652552961,3037.8398022017873,1962.7268878166938,5074.149612740814,3675.7519453538002,995.4210725013035,600.7486920247943
milk,17,5295.325638121065,5430.06416962615,9640.176420486237,7038.724024594314,1525.6707281966906,1095.781671325499,6443.947209202919,5923.38554924512,10239.467376581433,7738.104467514932,2092.3613889242124,1252.8497005594147,8705.57317396384,7175.023708167184,8022.540799817757,7318.975183743928,2744.523610844104,1722.5823584669874,6058.849857162879,4695.557198922976,9255.204368237075,6998.381893939153,1987.964788419549,1184.608804679196,3319.385574029282,1749.6046441771625,6859.236101394515,3743.4213727653173,991.6347996100922,675.8064770179939
milk,18,4790.379267988505,2934.833380078998,9121.541158542339,7498.297014107142,1333.6959977636661,912.5738044831118,6570.0933015194405,3965.315688482997,8397.200932989712,7004.155486905377,2003.1355966118776,1158.9562758091522,6145.248679998281,4361.103032603035,7505.295577004864,7211.848661355231,1818.2398848027783,1179.9866713718206,4468.720067903292,2804.510109576785,8697.903519711459,7284.64444177209,1272.7321767300687,862.364345873853,2494.7292646268666,1343.657469824171,5315.600943310942,3080.133345160858,722.9562864762445,471.75166300892926
milk,19,5866.858697499212,4445.658052929605,10222.756901504452,6624.066265915755,1813.0888829874061,1115.2233809297156,7321.521945750785,5519.133482521476,10296.076016048544,7371.256981292263,2315.023021527418,1308.1409078730178,7964.103176564138,5912.832493233762,8441.94980937404,6770.615602348106,2576.5651196225576,1434.6626561848857,5902.0919493474785,3985.86692219493,9989.810854830279,6438.862039674801,1989.852230898875,1152.3836566248085,3636.4589334702955,2158.9416215321985,6652.286529589368,2985.2887669359307,1123.7649746153497,670.0855605217939
milk,20,5367.917447767497,4147.131451250765,9205.988358019928,7980.99403713294,1520.6310825585467,1066.981513238431,5265.614311239999,4172.378209758136,8244.34790740547,6690.512248263137,1360.8755310981178,1028.4049299481223,5904.384673810026,3827.795399923731,7872.180277644544,6235.763695311448,1728.7454814394266,1156.6536602947908,4965.792176982537,3485.222023776825,8091.888275752288,6916.706116913069,1419.5432814098474,935.3386669474876,2832.7194411111923,1799.841817480274,5250.346314066686,3149.34023663947,829.9268887750075,587.5863210840658
milk,21,5339.450101008222,3916.3230993935226,9891.841014671738,8327.230592487396,1635.905352908167,1070.65355924338,7420.608700961082,6924.204034199216,9209.619561365675,7951.471900136521,1647.8907597722414,1518.3048001732056,8935.591384974949,6960.710064408765,8639.603627258066,8097.411766738757,2348.6647581996876,1724.1810486070237,6753.452092747484,5839.09679068301,9128.66774032831,7107.927117781189,1912.0589363888082,1332.1096908296286,3451.3908403216765,2236.5750082086747,6112.07806912713,3355.608386812319,947.2432249851479,721.4762118299255
milk,22,5852.920683599234,4282.139240087397,9720.756081908221,7089.412456423617,1943.3563132773618,1158.16604189372,7639.328251401825,6018.696733291516,8464.14615955662,8576.550279448778,2410.9684606432606,1483.908263216739,7211.5889411432145,5608.410866188468,9125.90191133677,8713.954928283705,2318.659718920997,1437.519937870296,5590.196254983539,4418.100024984497,10626.258559671187,7981.066224854599,1820.7521141660045,1083.8669820822834,3843.2091280027294,3480.7548891636284,5609.664990865534,3407.7506102277493,1098.3334940607392,850.6850995903942
milk,23,4499.9737236238325,3902.8060401069215,10124.625584930764,7238.04873239089,1163.118776377702,881.0231108883735,5155.438018501447,4049.4409907282115,8826.072926132436,7258.129576729258,1398.9430766673884,951.8344541965104,5852.1144500946575,5092.700066074312,8396.183531274302,9007.091427545198,1786.2794384683414,1075.380957265489,5131.3602816329285,4594.788369455119,9289.957645339253,7826.769279469834,1432.9472897361525,957.9187342031257,3841.459703614093,2914.591454305238,5669.3685784287445,3800.1034546015762,1217.1533477448475,769.9055519662605
milk,24,6588.811343888892,5481.175382583652,9820.999489984653,8645.407763241776,1843.6681712625896,1141.3445122605153,6257.887130299837,4167.689067628207,8319.105165247809,7679.680586183075,1945.1044965447068,1105.1749257157028,6211.320398102143,4417.2469833732675,8319.862377594898,6848.68127035278,1743.8324370745856,1176.4559132072104,5640.352903923426,3991.472237057721,9351.552488172547,7634.609866322826,1612.4046206980847,1116.5286311038444,3217.8176635670034,2121.5084218631305,6291.307235675947,4071.744691017781,945.3159598553441,672.1605692398404
milk,25,5223.210205781194,3754.266991867144,9736.080459299908,7427.352117513916,1500.7911578564303,1057.745783833019,8296.40477530896,5831.643490837782,8890.230947305172,6888.657902928362,2199.9225598697776,1549.8703897547543,8423.608666982327,7426.271811988857,8453.135329228688,8659.317184729165,2520.3113917748233,1664.2618542554542,6427.5449645005265,4485.793266449527,9072.70271757616,7365.694206827093,1860.114323871855,1209.5320852935158,4561.682654253185,3912.2254359744684,7871.1302538474665,6128.125250797925,1078.8648938585588,851.170947341728
