Letter,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
A,27,3857.094431115358,2245.0032404116682,5315.105078893877,4448.399529641701,1277.8336158487568,787.9289092669305,6385.92644104246,5349.190264852689,5645.776057147543,3723.5739250133793,2380.699085374399,1481.4063959653354,7301.6815198206905,6654.063343785436,5573.819709060884,3621.049714983825,2921.193047017434,1731.8483258726014,5408.524128972419,4938.9235412509815,5717.152225949223,2856.6560959142134,2247.808277406175,1226.9779300932028,1310.8244464848951,797.666766574594,2055.695204182628,938.2629941815593,474.1582595447885,258.5101310106156
A,28,4764.331213750638,3057.1588257206035,5370.627000720124,3011.2542539008505,1678.2137592594925,934.7647538002706,6007.105859999127,4782.155809544913,6881.235889626997,3711.079973378281,2330.8885418737227,1239.3337655956034,7597.278520794103,6219.299363873761,6942.941801106106,3493.716013638414,3151.9315844625653,1619.423742236012,7231.821992990971,7671.869372043042,7309.87544940587,3532.955991683639,3023.188348869844,1537.4507226100677,1959.2582662250702,1296.3410223504973,3006.6579375735637,1195.6982202570532,770.0047719620266,364.677029131459
A,29,3688.8022607766925,2266.1185716746522,4951.254959302907,3178.8385137858722,1425.8249947416189,731.9679089261359,4974.1412869547585,4693.224792976792,5665.919188208432,3853.7376827816784,2080.1239579879084,1051.5526762435277,5566.999169618049,6032.686155061604,5858.51029715313,3883.7286656190017,2486.2159182641053,1197.9194509769532,4103.292713236423,3980.0075263120884,5716.862710160522,4292.3055980354075,1812.4080140048172,837.9968874598873,1677.4045737472777,1004.9385035770664,1901.9366131509566,1083.2816581138386,672.2983033570924,293.7178479879675
A,30,2873.995131525581,1901.7628621800502,5225.262695522159,2509.2864673616864,1080.4396009133998,551.9155810068553,3873.818041039261,3211.24785479395,6541.427130197788,4022.4399397706784,1633.0478151799634,734.272709138353,4485.555195479068,4021.4469520697075,6110.218605510277,4499.738245762308,2006.8487420408105,826.3327654310981,5156.942876158448,3570.834800440736,6554.4283958241485,5591.842316961744,2234.767465458711,875.4849469253036,1822.7439743350392,691.5680762045822,1826.8094732510954,1035.8478675413949,637.8638691914289,320.46511443851483
A,31,4863.596169980752,3136.657503673068,5214.063168252403,3858.911350202764,1890.0616754236185,952.1110666639221,6025.740791780405,4898.574528398404,6829.16442242981,5005.729636892999,2448.3389538650067,1210.79375997687,6113.799777919925,5286.88015520555,6572.183768816669,5473.721118572149,2656.801768718767,1243.5443945394766,6338.169079855921,5636.7007828301785,5702.350638260466,4361.529821728891,2608.1549202855294,1310.1017669333348,1755.726952144125,1145.185954120422,1936.5684614869683,1210.2778349304747,689.0379431709923,305.40362600752104
A,32,5480.741724868768,3234.6320726293616,11763.27907964681,7367.399749952058,1739.2971203399352,956.981828336983,8228.76490520254,4968.749655084972,12339.611240016118,7858.980629764768,2553.0752448267554,1475.3340836755497,10467.811871964183,8947.36447861412,11403.996799386234,7746.234486402959,3010.5929781084187,1877.5399065692684,9050.881471568158,7827.3470018662265,9386.171568709155,7108.328693441654,2562.103964109698,1628.084773647079,2249.371775160107,1051.0930582555804,2566.6143908675112,1370.3033217473405,752.2595735504405,365.3116954883674
A,33,3651.5041808646147,2144.5213258739677,5589.697199536389,2838.7421563070943,1292.1505938284783,736.0728321438917,4240.143216763992,2646.009259494439,6903.007469802438,3401.990607071358,1633.5053252251214,886.7361932333755,5657.875035541185,3196.141436513696,6930.566953036354,3732.6994575950516,2013.8017554810076,1215.856730938912,4841.019765146799,2621.9530189265474,6057.55378520463,4093.104408862918,1723.917589284531,1007.6836316916604,1237.5229044988087,562.8992457277164,1717.2329478844904,689.0734967693531,400.1773076219728,225.03904834413942
A,34,4403.432112088822,2421.726271531318,4183.362732252239,2942.662654876206,1513.8397183017087,886.7735562095062,7065.423867877076,4818.23775536585,5238.481278839847,3144.376615085165,2858.5127482176104,1371.774010579923,9116.01670356189,6231.087101010591,6457.056340808969,3787.3734804437604,3864.826518878467,1847.7499345266679,6441.291050227876,4565.166821295171,7068.700456726537,3677.0963336339246,2714.938922067278,1320.2671304414623,1489.8035906645173,905.4163469051748,2406.354116619873,1613.647650643285,555.7349701147193,295.905059134382
A,35,4252.658325446309,2564.5476534882696,3963.8700779150504,2046.5318160633938,1527.3758726631663,917.0024645349853,7833.798636729172,4394.198438757647,5677.864562968455,2725.887975428746,3097.8158913249217,1577.9545394378883,8440.20303871671,5649.3931236228555,7247.979326338509,3927.1429696052023,3438.1179051159356,1574.2072040264713,7579.947709851107,3484.1714532902893,8396.283516231788,4734.705454413648,2923.110353124417,1407.1825068459323,1736.897427798563,1222.3067639945114,2035.6219546976363,919.4720333174769,606.4100703550894,302.98453588820996
A,36,4722.672965931175,2877.8267072328795,6159.974168191197,4737.453647236789,1698.0478937429311,973.6557806268464,6278.038026059153,4570.655045325046,7340.405687194605,4569.938488087242,2566.307883382762,1292.7177159860403,7808.536678999979,6003.213550483772,6679.95616709621,4740.876865034919,3244.491342575352,1588.5548307621646,6662.503155666477,4291.652618832777,7650.3566179078625,5296.661350566352,2809.1337531355193,1244.6117060593658,2151.3108206733846,1392.7240404522383,2233.871033715454,903.953444446698,804.3821404145706,422.6583459046472
A,37,4097.45754246013,2467.0452342299263,4410.912881903519,3468.081848011606,1531.3317809007717,779.7270973025497,6271.629639826655,3995.4145167739193,5356.982513643561,4107.667541289961,2495.298504314128,1280.550780243504,6841.288196784762,5374.840212372225,6434.233768979764,4005.271650415294,2675.402922080193,1503.833231477527,6541.380073948454,4219.88930283131,6370.32286439514,2953.5785038431773,2543.3620578548416,1378.5829905976095,1715.4962726572094,1008.807979002556,2493.6812575204203,1239.3058433620715,654.8750673171178,319.16057965625276
