Label,Input,S1_MeanAccelMag,S1_StdAccelMag,S1_MeanGyroMag,S1_StdGyroMag,S1_MeanVelMag,S1_StdVelMag,S2_MeanAccelMag,S2_StdAccelMag,S2_MeanGyroMag,S2_StdGyroMag,S2_MeanVelMag,S2_StdVelMag,S3_MeanAccelMag,S3_StdAccelMag,S3_MeanGyroMag,S3_StdGyroMag,S3_MeanVelMag,S3_StdVelMag,S4_MeanAccelMag,S4_StdAccelMag,S4_MeanGyroMag,S4_StdGyroMag,S4_MeanVelMag,S4_StdVelMag,S5_MeanAccelMag,S5_StdAccelMag,S5_MeanGyroMag,S5_StdGyroMag,S5_MeanVelMag,S5_StdVelMag
want,21,2402.9924484686085,1192.9841962921564,2387.15142019361,1591.3294275754563,806.7898247585158,502.6202011114505,2346.833055692907,1156.3652574801326,2359.5599827489164,1578.555431497397,784.1041145016657,493.9371262380525,2624.8144634821574,1539.0740827831753,2116.022420360077,1253.7103025753124,897.3154927009406,552.8701120104274,2981.15300157197,1629.0551805320877,2012.542248611689,995.4994243107355,994.1379187568998,636.8191586937411,2701.9449902784427,1840.0072743087803,1869.8230503631075,1202.0969481829677,889.9239491640287,592.1731155418368
want,22,2936.8757719904934,1988.17069184093,2808.829074273214,1637.8591725229248,892.4827832606131,640.3756138164973,2794.085576658649,1916.8956127833624,2827.671748326775,1580.33398842289,905.4287070225914,620.6066398826376,2992.2844644831,1737.919498599716,3064.0972028413807,2133.992946108217,924.5447313855876,665.0463795312555,2913.064330258067,1805.8803138021408,2621.79765977013,1556.4842293527645,867.5424498410277,654.7133846329112,3173.267203626071,1782.3314098088422,2586.037688242915,1983.9088893488129,903.3435515354388,692.0637936242318
want,23,3155.8263085517333,2116.4117771012197,2850.8490340554013,1719.7928483615071,1081.6559172988989,663.0476704958824,3398.929650049144,2377.2439365821933,3037.5376912761963,1845.227414595956,1075.3081226234608,731.5012502634107,3257.5586191263915,2263.258456949925,2658.330853370517,1413.8146688192126,1057.2493886518005,704.8132753926625,3217.9699325515,2232.4184225172703,2415.1102264327856,1086.4472492623738,1109.6036077604472,688.3303253314556,2863.1568261017537,1970.1079892094576,2734.131992687603,1440.2783030762212,1034.7355720132011,615.1217898765825
want,24,2905.110135613655,2021.0762231926856,2185.9882691096946,1127.3303252883777,925.1972888408728,643.8418263137916,2475.1831368404746,1356.1646061966626,2269.76094054068,1353.9448581998774,823.0182972057262,525.20138195643,2480.9589293124286,1080.9626686731267,2394.2397317927484,1583.1924868615906,814.6426930229345,502.4682447676588,2817.417426149558,1442.4794788241525,2528.852229097683,1772.6821125451906,915.6279761088508,566.8453705617177,2616.737404450325,1698.366525856706,2699.552673844953,1513.8422407525045,869.3409683273096,556.0487374498159
want,25,2704.8926673118744,1669.9127696746482,2884.1867746955286,2048.839128304466,812.6806008481421,595.5502813918476,3048.1676725821194,1943.6781729044824,2836.2052111853623,2063.0928617721,954.0996129088144,665.3215386533889,3513.2221072304483,2321.547851168967,2676.1547773203392,1904.6023900214784,1136.3764666910638,750.6340789345603,3445.6346914908945,2511.143479133449,2547.2400319628205,1639.3681140354197,1091.6280757278655,765.1736628855041,2404.187068481332,1428.655325733656,2407.3173293513314,1525.031114700541,778.5294520405971,499.48504430388107
want,26,2940.324783289576,1818.186505497472,2529.783850520532,1458.0894437226789,982.1482623435318,659.0095941753636,3211.4352741542007,1955.905667438523,2425.319421140889,1202.219803295897,1062.1847277965635,723.4543123797404,2904.236897529897,1644.994086015484,2531.3310417348976,1331.5908956580165,993.7253799164216,637.7347692875735,2598.7658151255123,1468.0402712919804,2638.5458949938834,1177.0566564575074,878.7890747662709,549.5864393002528,2597.73898220909,1885.869475947707,2773.6612622438943,1458.6183260461278,934.4933838629252,564.2170617302501
want,27,2011.2674813877516,973.0296081374768,1969.04741963714,894.9273066681561,666.0903252061676,401.03325005546935,2268.458087431987,1123.4947287657435,1828.0808560477017,937.6252296370352,735.0410320267101,457.0020722082144,2305.892274856723,1332.175219990257,2080.691363366899,937.8343306045028,738.3896373404093,464.076658778153,2454.9176372229235,1332.140155708783,2191.992402502433,968.4342362141128,793.0136533695622,520.362705516806,2358.383143273675,1345.2889836472236,2066.0640415524977,842.895049044517,762.1075421289802,497.5849867656216
want,28,2714.3020432537432,1930.180799300562,2507.674240489108,1527.96575258982,909.8216412785408,608.8885400497898,2807.56980439454,1530.4964205943136,2535.0563981996675,1670.6160994366503,929.9641558470856,610.1283440622603,2619.839495437222,1551.220493078673,2350.242704054056,1479.8545053621583,850.3387560156491,564.6466801090108,2445.8394808194266,1481.435362769823,2300.721206709539,1420.884613628779,761.8950379913103,529.1088260003255,2461.603004370083,1469.2622804918742,2178.498660638992,1284.5544307634914,794.6616668329737,533.710185007098
want,29,2696.275293089549,1787.192922959037,2452.464957693784,2145.600907970545,783.7580168320715,571.1678780415377,2563.2858339644526,1472.6563527847084,2592.1323599493544,2197.750181379446,775.0673674406924,543.9801631368514,2478.9810883524656,1530.5975184844726,2840.5920731635515,2155.178513228173,761.915677884814,521.6424405120688,2878.280302851397,2022.7477594148188,2853.1842190839425,1956.185294321668,921.1625621703243,626.3572455943166,2630.1782192507626,1803.345650444997,2914.986411917019,1728.0249924665864,826.922135129058,568.0929285068943
want,30,2593.7103357902984,1762.2630887624518,2139.156846815284,1047.3768798638305,861.177186734089,573.068780225499,2594.687360285149,1662.2817157078048,2130.645925285822,1088.534509587511,861.927141768885,571.2751102605617,2528.138573078606,1720.7375904861465,2228.285286166171,1466.8934209598683,793.948465933094,545.7927521166143,2381.772080710094,1230.3476157370765,2182.7178714455167,1307.5910364759895,747.6184398600153,491.0593572149769,2096.9519939198217,1193.2170109396218,2244.7500807637343,1373.0115667434152,668.9013943837492,434.4961404925735
want,31,2444.6114950059155,1706.4211492140337,2259.9627881534034,1403.046699120131,824.6861269282219,541.7876018493862,2621.834208494194,1919.7047645848108,2331.9594162549884,1377.8772735406062,889.3544692540224,580.3049592122405,2742.736560798525,2262.1411666956333,2348.583610072282,1340.7750772407155,926.1087240667962,621.5920487827623,2299.0784734667022,1189.88010860003,2522.347778243425,1382.891478692546,790.4008829893678,489.2137664564368,2423.862716708366,1506.818346898902,2553.602702697798,1676.4872462307906,829.8730802750308,534.751546297091
